Barcode	MinRec	Pgen	Sample1	Sample2
'123456789'	0	0.028228710780151108	33813	38072
'1'	1	0.034994013405174135	88	47
'GFE'	2	0.0007799471542146332	0	93
'123'	1	0.015573955791179822	71	12
'1236789'	1	0.009056230958530247	22	48
'3456789'	1	0.009056230958530247	7	51
'12349'	1	0.010884292310276709	57	0
'1234569'	1	0.009056230958530247	0	43
'16789'	1	0.010884292310276709	42	0
'3FED789'	2	0.0004782324767388176	40	0
'123HGFED9'	1	0.008602329526164309	35	0
'349'	2	0.0011319796033363787	0	34
'1B9'	2	0.002635108241545903	34	0
'5'	2	0.002886195749659466	0	33
'789'	1	0.015573955791179822	13	18
'12789'	1	0.010884292310276709	0	29
'9'	1	0.03499401340517413	3	25
'129'	1	0.015573955791179822	12	15
'I'	2	0.019728229146018728	0	23
'18769'	4	6.72118917111795e-07	23	0
'IHGF123'	3	3.2256076144910754e-05	22	0
'123456GHI'	3	1.2727444277512866e-05	17	0
'1456789'	1	0.009056230958530247	4	12
'169'	2	0.001177917224518035	16	0
'3HGFED9'	2	0.00047817137793732645	0	14
'3'	2	0.003912215113042246	4	9
'EBA'	3	0.00015060380229792522	12	0
'E67BC'	5	3.6447975822873336e-08	0	11
'EDCB9'	2	0.00046224270292043586	10	0
'C'	2	0.003061858048832449	9	0
'123F5DG89'	3	1.2707444745243863e-05	0	9
'123FED789'	1	0.00860655600796433	0	8
'149'	2	0.001177917224518035	0	7
'G89'	2	0.002635108241545903	6	0
'123F7'	3	5.355264221454274e-05	6	0
'56CBA89'	3	1.7708976556028866e-05	6	0
'A'	2	0.019728229146018725	0	4
'E'	2	0.00230427429231278	4	0
'G456C89'	3	3.006387288985589e-05	3	0
'I6A'	3	6.440857970553387e-05	2	0
'12EDC6789'	1	0.00860655600796433	2	0
'1HGFEDCB9'	1	0.00860655600796433	0	1
